Title,Information
Delivery Drivers / Delivery Executives / Delivery Boys / Fre...,"About the role: 
 As a Zomato Delivery Partner, you are required to pick up food or grocery items ordered by customers from restaurants / outlets and deliver to customers. Delivery boys use their own vehicles (Bike/Cycle) to provide food delivery to Zomato customers. This is an urgent requirement.
 Job type: 
 Full-time: Earn upto Rs. 22,000 per month
 Part-time: Earn upto Rs. 10,000 per month
 BENEFITS: 
 
  Weekly Payments
  Flexible work timings- morning/ afternoon/ evening/ late night
  Referral Bonus
  Joining Bonus
  Insurance Coverage (10 Lac - Accidental & 1 Lac - Health Insurance)
  Attractive incentives
 
 Responsibilities and Duties
 
  Pick and deliver food on time with best service quality
 
 Please note: Before applying, please ensure that you have the following documents: 
 
  Proof Of Address
  Bike/ Scooty (this is not a document)
  DL/RC
  Pan Card
  Bank Document (Cancelled Cheque or Bank Passbook)
  Android Phone (version 4.5 or above)
 
 Open for: 
 
  Freshers job with any degree, fresh graduates, 12th pass or 10th pass.
  Candidates with prior experience in delivery operations are also welcome.
  Our delivery guys need to be hard workers and self starters
  People with field sales or retail helper experience will do great as delivery drivers
  Any working professional who wants to earn good money with a part-time job will also be a good delivery executive
  Candidates who have previous experience as account executives are welcome for these delivery rider roles
  Courier guys are also welcome for delivery person job vacancy
  This is an urgent hiring. Candidates can apply from home.
 
 Job Types: Full-time, Part-time
 Salary: Up to ₹22,000.00 per month
 Schedule:
 
  Flexible shift
 
 Expected Start Date: 27/04/2022"
WALK IN - Data Entry Operators,"In office un-paid training for 1 week, then a final interview will be held.5 days working.
 This job is open in our sister concern company, Corp synergy IT services.Skill Set Required
 
  Experience with MS Office and data programs
  Familiarity with administrative duties
  Experiences using office equipment, like fax machines and scanner
  Typing speed and accuracy
  Excellent knowledge of correct spelling, grammar and punctuation
 
 Job Role
 
  Entering customer and account data from source documents within time limits
  Compiling, verifying accuracy and sorting information to prepare source data for computer entry
  Reviewing data for deficiencies or errors, correcting any incompatibilities and checking output
 
 Other Expectations
 
  Staying max. 00:45 Minutes traveling time from office
  Should be stable in job, not someone who has been jumping jobs often
  Should be honest
  Should be open to take additional responsibilities
  Marks should not be below 50% in academics
 
 Job Types: Full-time, Regular / Permanent, Fresher
 Salary: ₹14,000.00 - ₹18,000.00 per month
 Benefits:
 
  Leave encashment
  Paid time off
 
 Schedule:
 
  Day shift
 
 Supplemental Pay:
 
  Quarterly bonus
  Yearly bonus
 
 Expected Start Date: 20/04/2022"
Dispatch Executive,"Manage the dispatch
 Manage all the loading & Unloading
 Preparation of bills
 Making of packing slips
 Job Type: Full-time
 Salary: ₹16,000.00 - ₹17,000.00 per month
 Benefits:
 
  Cell phone reimbursement
 
 Schedule:
 
  Rotational shift
 
 Supplemental Pay:
 
  Overtime pay
  Performance bonus
 
 Ability to commute/relocate:
 
  Tapukrah, Bhiwadi - 301707, Rajasthan: Reliably commute or planning to relocate before starting work (Preferred)
 
 Experience:
 
  total work: 1 year (Preferred)
 
 Application Deadline: 25/04/2022"
packing person,"we need a person for packing purpose of rakhi we manufacture
 Job Types: Full-time, Regular / Permanent
 Salary: From ₹8,000.00 per month
 Schedule:
 
  Morning shift
 
 Experience:
 
  total work: 1 year (Preferred)"
Computer Operator,"Job Description 
 1. Good with excel, word, PowerPoint
 2. Able to communicate with team members
 3. Computer literacy
 4. Internet Browsing Excel V-lookup and other functions/formula
 5. Macros knowledge
 6. Assists in operation of computer system
 7. Supports in day to day operation of computer center
 8. Monitor systems and networks
 9. Performs preventive maintenance of equipment
 Location :  Jaipur
 Salary :  15,000 - 20,000 per month
 Job Types: Full-time, Regular / Permanent
 Salary: ₹15,000.00 - ₹20,000.00 per month
 Schedule:
 
  Day shift
 
 Speak with the employer+91-XXXXXXXXXX"
Business Development Manager / Business Development Executive,"Job descriptionRoles and Responsibilities  Job descriptionSales & Business Development from New and Existing Customers for Data Recovery & Data Sanitization.Daily meeting with clients and giving business presentations regarding our business.Cold Calling and hunting potential customers in assigned areas.Daily follow-up with prospects.Handle a team of sales executives and their reports.Hunting potential customers in his region.Maintain daily and monthly report.Desired Candidate Profile Skills Required: Bachelors degree in business, marketing or related field. 0.6 - 4  years experience in IT sales, marketing or related field. Good communication skills and IT fluency. Ability to manage complex projects and multi-task. Excellent organizational skills. • Ability to flourish with minimal guidance, be proactive, and handle uncertainty. Proficient in Word, Excel, Outlook, and PowerPoint. Comfortable using a computer for various tasks.Perks and Benefits Sim Card.Incentives .RoleBusiness Analyst,Industry TypeIT Services & Consulting,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryBusiness Intelligence & AnalyticsEducationUG :Any GraduateKey SkillsClient Relationship ManagementBusiness Process ImprovementBusiness AnalysisBusiness Developmentit salesField MarketingRegionalVerbalBusiness ManagementArea Managementmarketingbusiness presentationsSalesdata recoverystrong communication skillsregionSkills highlighted with ‘‘ are preferred keyskills"
Business Development Executive / Manager,"Job description WE ARE LOOKING FOR CONFIDENT CANDIDATES WITH GOOD COMMUNICATION SKILLS AND KNOWLEDGE OF INTERNET/MS OFFICE FOR THE ROLE OF BUSINESS DEVELOPMENT for our ITES company already into business of e-auctions for more than a decade and experience of serving reputed manufacturing units. GRADUATE/POST GRADUATE FRESHERS WELCOME TO APPLY. Roles and Responsibilities Acquiring new clients & Generating new leads to expand the business of e-auction services in manufacturing industry, company already have long terms service agreements with leading automobile / OEM companies.Identifying the clients, Selling the services of already a leading platform serving industry for last 10 years.Regular Follow up with new potential clients, personal/online meetings  to generate new business.Good presentation and pitching skills.Responsible for achieving the monthly and annual sales targets as planned within the team.Job Benefits & PerksPERFORMANCE LINKED INCENTIVES, SALARY NOT A CONSTRAINT FOR DESERVING CANDIDATESRoleBusiness Development Manager (BDM),Industry TypeIT Services & Consulting,Functional AreaSales & Business Development,Employment TypeFull Time, PermanentRole CategoryBD / Pre SalesEducationUG :Any GraduatePG :Any PostgraduateKey Skillsbusiness developmentPresentation SkillsEffective CommunicationStrategic ThinkingEmailBrowsinginternetcommunication skillsSkills highlighted with ‘‘ are preferred keyskills"
Business Development Manager (Work From Office),"Job descriptionKey Responsibilities:Responsible for generating New Leads/Requirements and maintaining Existing Clients to enhance Business relations. Generate requirements from New Clients and Existing Clients through Cold Calling. Understand the Clients requirements and Shortlist the suitable candidates based on technological skills, rates and location preferences from the available pool of Resources.Negotiate The rates with the Clients and CandidatesMake timely resume submissions and provide all the Information to the Client, which is required for making the Client Submission.Follow-up with The Clients on the Progress of the Submittals made.Orient The Candidates on Interview process and Closure.Requirement: Applicant having 0- 4 years of experience in Business Development role from Recruitment Firms/IT Software/Inside Sales/International Sales /Outbound Sales/International BPO may apply      -Candidate from Lead Generation/Cold calling background may apply      -Good negotiation ,convincing and client servicing skills      -Ability to work independently and multi task in a fast paced environment.       -Must be confident, Self-motivated with go- getter attitude      Applicant should possess good communication skills.Applicant should have good understanding of technology.Applicant should be willing to work in US Timings (Night Shift)- Mon to Friday Perks and Benefits:1) Excellent Salary structure 2) Best in the Industry Monthly Incentive structure 3) Timings are fixed with Saturday and Sunday Off  4) Medical Insurance Benefits and Meal allowance 5) Quarter ,Annual Team parties and Outdoor Trips 6) Performance based bonus and Cash Rewards 7) Attractive Internal Referral Incentives 8) Employee friendly Corporate Work culture responsibilities ContactName : Harmeet SinghMobile Number  : 9716658353 (Best time to reach me between 5 PM to 6 AM IST)Email Address : hsingh5@fcsltd.comRoleBusiness Development Manager (BDM),Industry TypeIT Services & Consulting,Functional AreaSales & Business Development,Employment TypeFull Time, PermanentRole CategoryBD / Pre SalesEducationUG :B.Tech/B.E. in Any SpecializationKey SkillsInternational SalesBdeLead GenerationCold CallingBdmIT SalesSkills highlighted with ‘‘ are preferred keyskills"
Business Development Executive,"Job description Location: GurugramLocation: GurugramKey Responsibilities:Gaining comprehensive understanding of the dynamics of the travel market and getting an in-depthexposure to business models of various types of travel partners and agents Assessing and evaluating the right target group of travel vendors; understanding their business andenabling them to join and grow on TravelTriangle Developing and maintaining relationships with new and existing agents; ensuring efficient and opencommunication channels across the hierarchy of travel agents Coordinating with various teams at TravelTriangle for agent success Ensuring high quality training of new travel vendors to TravelTriangle platform to facilitate betterunderstanding and rapid growth on platform Maintaining and managing the whole sales funnel to ensure continuous building of new relationshipswith Travel agents. Developing newer ways for increasing inflow of travel agents through agent branding exercises,conferences and meetings.Desired Skills and Experience:- Good knowledge of destinations Dometic or internation both suitable.- Good communication Skills.Education: Graduation. RoleBusiness Development Executive (BDE),Industry TypeTravel & Tourism,Functional AreaSales & Business Development,Employment TypeFull Time, PermanentRole CategoryBD / Pre SalesEducationUG :Any GraduateKey SkillsBusiness DevelopmentSalesChannel SalesSkills highlighted with ‘‘ are preferred keyskills"
Sales Manager/ Sales Executive/ Business Development Executive - Noida,"Job descriptionCandidate with 0-3 years of experience in the field of Sales of IT Hardware in Education Industry.Freshers keen to learn are also welcome to apply.Profile requires candidates to maintain their respective territory assigned to them for sales, enroll more B2B clients and take charge of smooth functioning of operations in their area.Primarily a White Collar desk job based out of NOIDA.Clients could be from across India.Planned visits maybe required.Target and Growth Oriented applicants may only apply.English Speaking Candidates with Good Communication Skills.RoleChannel Management,Industry TypeHardware & Networking,Functional AreaSales & Business Development,Employment TypeFull Time, PermanentRole CategoryEnterprise & B2B SalesEducationUG :Any GraduatePG :MBA/PGDM in Any SpecializationDoctorate :Doctorate Not RequiredKey SkillsSalesBusiness DevelopmentGrowth OrientedChannel SalesSales ManagementB2B SalesSales ExecutiveIT HardwareSales OfficerSales Executive ActivitiesSpoken EnglishBusiness Development ExecutiveArea Sales ManagerEducation IndustrySkills highlighted with ‘‘ are preferred keyskills"
